Nx=6, Ny=96, Nz=96
dx=0.408248, dy=0.204124, dz=0.204124
0.035732 0.964267 17.789093 -10.066667
0.035732 0.964267 17.789093 -10.066667
0.035732 0.964267 17.789093 -10.066667
0.035732 0.964267 17.789093 -10.066667
0.035732 0.964267 17.789093 -10.066667
0.035732 0.964267 17.789093 -10.066667
0.071773 0.928229 15.128505 -10.564491
0.071773 0.928229 15.128505 -10.564491
0.071773 0.928229 15.128505 -10.564491
0.071773 0.928229 15.128505 -10.564491
0.071773 0.928229 15.128505 -10.564491
0.071773 0.928229 15.128505 -10.564491
0.160659 0.839349 8.133513 -12.226010
0.160659 0.839349 8.133513 -12.226010
0.160659 0.839349 8.133513 -12.226010
0.160659 0.839349 8.133512 -12.226010
0.160659 0.839349 8.133512 -12.226010
0.160659 0.839349 8.133512 -12.226010
0.359940 0.640067 -4.301829 -12.705209
0.359940 0.640067 -4.301829 -12.705209
0.359940 0.640067 -4.301829 -12.705209
0.359940 0.640067 -4.301829 -12.705209
0.359940 0.640067 -4.301829 -12.705209
0.359940 0.640067 -4.301829 -12.705209
0.645598 0.354396 -12.979816 -4.245276
0.645598 0.354396 -12.979816 -4.245276
0.645598 0.354396 -12.979816 -4.245276
0.645598 0.354396 -12.979816 -4.245276
0.645598 0.354396 -12.979816 -4.245275
0.645598 0.354396 -12.979816 -4.245276
0.845933 0.154062 -12.727515 8.027476
0.845933 0.154062 -12.727515 8.027476
0.845933 0.154062 -12.727515 8.027476
0.845933 0.154062 -12.727515 8.027476
0.845933 0.154062 -12.727515 8.027476
0.845933 0.154062 -12.727515 8.027476
0.934393 0.065606 -11.361541 14.701727
0.934393 0.065606 -11.361541 14.701727
0.934393 0.065606 -11.361541 14.701727
0.934393 0.065606 -11.361541 14.701727
0.934393 0.065606 -11.361541 14.701727
0.934393 0.065606 -11.361541 14.701727
0.969771 0.030229 -11.238631 16.947512
0.969771 0.030229 -11.238631 16.947512
0.969771 0.030229 -11.238631 16.947512
0.969771 0.030229 -11.238631 16.947512
0.969771 0.030229 -11.238631 16.947512
0.969771 0.030229 -11.238631 16.947512
0.984880 0.015120 -11.651365 17.441332
0.984880 0.015120 -11.651365 17.441332
0.984880 0.015120 -11.651365 17.441332
0.984880 0.015120 -11.651365 17.441332
