Nx=6, Ny=96, Nz=96
dx=0.408248, dy=0.204124, dz=0.204124
0.034524 0.965476 17.841375 -10.086806
0.034524 0.965476 17.841375 -10.086806
0.034524 0.965476 17.841375 -10.086806
0.034524 0.965476 17.841375 -10.086806
0.034524 0.965476 17.841375 -10.086806
0.034524 0.965476 17.841375 -10.086806
0.069293 0.930712 15.300129 -10.541512
0.069293 0.930712 15.300129 -10.541512
0.069293 0.930712 15.300129 -10.541512
0.069293 0.930712 15.300129 -10.541512
0.069293 0.930712 15.300129 -10.541512
0.069293 0.930712 15.300129 -10.541512
0.155347 0.844667 8.516025 -12.161541
0.155347 0.844667 8.516025 -12.161541
0.155347 0.844667 8.516025 -12.161541
0.155347 0.844667 8.516025 -12.161541
0.155347 0.844667 8.516025 -12.161541
0.155347 0.844667 8.516025 -12.161541
0.350775 0.649237 -3.867716 -12.818697
0.350775 0.649237 -3.867716 -12.818697
0.350775 0.649237 -3.867716 -12.818697
0.350775 0.649237 -3.867716 -12.818697
0.350775 0.649237 -3.867716 -12.818697
0.350775 0.649237 -3.867716 -12.818697
0.637631 0.362360 -12.900587 -4.640731
0.637631 0.362360 -12.900587 -4.640731
0.637631 0.362360 -12.900587 -4.640731
0.637631 0.362360 -12.900587 -4.640731
0.637631 0.362360 -12.900587 -4.640731
0.637631 0.362360 -12.900587 -4.640731
0.842580 0.157411 -12.795498 7.760147
0.842580 0.157411 -12.795498 7.760147
0.842580 0.157411 -12.795498 7.760147
0.842580 0.157411 -12.795498 7.760147
0.842580 0.157411 -12.795498 7.760147
0.842580 0.157411 -12.795498 7.760147
0.933334 0.066664 -11.401878 14.598515
0.933334 0.066664 -11.401878 14.598515
0.933334 0.066664 -11.401878 14.598515
0.933334 0.066664 -11.401878 14.598515
0.933334 0.066664 -11.401878 14.598515
0.933334 0.066664 -11.401878 14.598515
0.969460 0.030541 -11.265795 16.901954
0.969460 0.030541 -11.265795 16.901954
0.969460 0.030541 -11.265795 16.901954
0.969460 0.030541 -11.265795 16.901954
0.969460 0.030541 -11.265795 16.901954
0.969460 0.030541 -11.265795 16.901954
0.984803 0.015198 -11.681466 17.406826
0.984803 0.015198 -11.681466 17.406826
0.984803 0.015198 -11.681466 17.406826
0.984803 0.015198 -11.681466 17.406826
0.984803 0.015198 -11.681466 17.406826
0.984803 0.015198 -11.681466 17.406826
0.991945 0.008056 -12.220369 17.296401
0.991945 0.008056 -12.220369 17.296401
0.991945 0.008056 -12.220369 17.296401
