5 4.81523
6 4.81523
7 4.81523
9 4.81527
3 4.81522
1 4.8152
4 4.81522
2 4.81521
8 4.81524
15 4.81658
45 4.80924
14 4.81601
18 4.81775
11 4.81539
17 4.8179
44 4.80926
16 4.81741
41 4.80937
42 4.80933
46 4.80921
47 4.80918
13 4.81567
34 4.8099
10 4.81532
12 4.81549
19 4.81738
35 4.80976
49 4.80911
40 4.80942
43 4.80929
37 4.8096
30 4.81058
48 4.80914
39 4.80947
33 4.81006
36 4.80967
38 4.80953
32 4.81023
31 4.8104
25 4.81186
26 4.81148
27 4.81119
28 4.81096
29 4.81076
24 4.81236
23 4.81305
21 4.81529
20 4.81665
22 4.81399
