Nx=6, Ny=96, Nz=96
dx=0.408248, dy=0.204124, dz=0.204124
0.028006 0.971994 18.266580 -10.052358
0.028006 0.971994 18.266580 -10.052358
0.028006 0.971994 18.266580 -10.052358
0.028006 0.971994 18.266580 -10.052358
0.028006 0.971994 18.266580 -10.052358
0.028006 0.971994 18.266580 -10.052358
0.053799 0.946201 16.494517 -10.276132
0.053799 0.946201 16.494517 -10.276132
0.053799 0.946201 16.494517 -10.276132
0.053799 0.946201 16.494517 -10.276132
0.053799 0.946201 16.494517 -10.276132
0.053799 0.946201 16.494517 -10.276132
0.116954 0.883048 11.502500 -11.477281
0.116954 0.883048 11.502500 -11.477281
0.116954 0.883048 11.502500 -11.477281
0.116954 0.883048 11.502500 -11.477281
0.116954 0.883048 11.502500 -11.477281
0.116954 0.883048 11.502500 -11.477281
0.268850 0.731151 0.682023 -13.181469
0.268850 0.731151 0.682023 -13.181469
0.268850 0.731151 0.682023 -13.181469
0.268850 0.731151 0.682023 -13.181469
0.268850 0.731151 0.682023 -13.181469
0.268850 0.731151 0.682023 -13.181469
0.540166 0.459834 -11.025480 -8.609414
0.540166 0.459834 -11.025480 -8.609414
0.540166 0.459834 -11.025480 -8.609414
0.540166 0.459834 -11.025480 -8.609414
0.540166 0.459834 -11.025480 -8.609414
0.540166 0.459834 -11.025480 -8.609414
0.787801 0.212199 -13.357484 3.913712
0.787801 0.212199 -13.357484 3.913712
0.787801 0.212199 -13.357484 3.913712
0.787801 0.212199 -13.357484 3.913712
0.787801 0.212199 -13.357484 3.913712
0.787801 0.212199 -13.357484 3.913712
0.910973 0.089028 -11.719497 12.939904
0.910973 0.089028 -11.719497 12.939904
0.910973 0.089028 -11.719497 12.939904
0.910973 0.089028 -11.719497 12.939904
0.910973 0.089028 -11.719497 12.939904
0.910973 0.089028 -11.719497 12.939904
0.960394 0.039606 -11.191546 16.432370
0.960394 0.039606 -11.191546 16.432370
0.960394 0.039606 -11.191546 16.432370
0.960394 0.039606 -11.191546 16.432370
0.960394 0.039606 -11.191546 16.432370
0.960394 0.039606 -11.191546 16.432370
0.980775 0.019224 -11.482248 17.364343
0.980775 0.019224 -11.482248 17.364343
0.980775 0.019224 -11.482248 17.364343
0.980775 0.019224 -11.482248 17.364343
0.980775 0.019224 -11.482248 17.364343
0.980775 0.019224 -11.482248 17.364343
0.989983 0.010017 -11.990316 17.408685
0.989983 0.010017 -11.990316 17.408685
0.989983 0.010017 -11.990316 17.408685
0.989983 0.010017 -11.990316 17.408685
0.989983 0.010017 -11.990316 17.408685
0.989983 0.010017 -11.990316 17.408685
0.994449 0.005551 -12.513508 17.153413
0.994449 0.005551 -12.513508 17.153413
0.994449 0.005551 -12.513508 17.153413
0.994449 0.005551 -12.513508 17.153413
0.994449 0.005551 -12.513508 17.153413
0.994449 0.005551 -12.513508 17.153413
0.996615 0.003385 -12.963758 16.833153
0.996615 0.003385 -12.963758 16.833153
0.996615 0.003385 -12.963758 16.833153
0.996615 0.003385 -12.963758 16.833153
0.996615 0.003385 -12.963758 16.833153
0.996615 0.003385 -12.963758 16.833153
0.997514 0.002486 -13.284972 16.565860
0.997514 0.002486 -13.284972 16.565860
0.997514 0.002486 -13.284972 16.565860
0.997514 0.002486 -13.284972 16.565860
0.997514 0.002486 -13.284972 16.565860
0.997514 0.002486 -13.284972 16.565860
0.997605 0.002395 -13.446112 16.410168
0.997605 0.002395 -13.446112 16.410168
0.997605 0.002395 -13.446112 16.410168
0.997605 0.002395 -13.446112 16.410168
0.997605 0.002395 -13.446112 16.410168
0.997605 0.002395 -13.446112 16.410168
0.997031 0.002969 -13.451634 16.370228
0.997031 0.002969 -13.451634 16.370228
0.997031 0.002969 -13.451634 16.370228
0.997031 0.002969 -13.451634 16.370228
0.997031 0.002969 -13.451634 16.370228
0.997031 0.002969 -13.451634 16.370228
0.995723 0.004277 -13.326937 16.416461
0.995723 0.004277 -13.326937 16.416461
0.995723 0.004277 -13.326937 16.416461
0.995723 0.004277 -13.326937 16.416461
0.995723 0.004277 -13.326937 16.416461
0.995723 0.004277 -13.326937 16.416461
0.993531 0.006469 -13.110968 16.500946
0.993531 0.006469 -13.110968 16.500946
0.993531 0.006469 -13.110968 16.500946
0.993531 0.006469 -13.110968 16.500946
0.993531 0.006469 -13.110968 16.500946
0.993531 0.006469 -13.110968 16.500946
0.990204 0.009797 -12.831203 16.581123
0.990204 0.009797 -12.831203 16.581123
0.990204 0.009797 -12.831203 16.581123
0.990204 0.009797 -12.831203 16.581123
0.990204 0.009797 -12.831203 16.581123
0.990204 0.009797 -12.831203 16.581123
0.985352 0.014648 -12.535654 16.585648
0.985352 0.014648 -12.535654 16.585648
0.985352 0.014648 -12.535654 16.585648
0.985352 0.014648 -12.535654 16.585648
0.985352 0.014648 -12.535654 16.585648
0.985352 0.014648 -12.535654 16.585648
