6 4.81521
4 4.81521
5 4.81521
7 4.81521
1 4.81519
2 4.8152
3 4.8152
9 4.81526
8 4.81522
15 4.81678
14 4.8161
45 4.80871
18 4.81759
11 4.81539
17 4.81788
44 4.80874
16 4.81766
41 4.80886
42 4.80881
13 4.81571
46 4.80868
47 4.80864
10 4.81532
12 4.8155
19 4.81703
34 4.80961
49 4.80853
40 4.80893
43 4.80877
35 4.80942
48 4.80859
37 4.80917
39 4.809
30 4.81032
33 4.80979
36 4.80927
38 4.80908
32 4.80996
31 4.81013
24 4.81187
25 4.81146
29 4.81051
26 4.81115
22 4.81322
28 4.8107
27 4.81091
20 4.81581
21 4.8143
23 4.81243
