Nx=6, Ny=96, Nz=96
dx=0.408248, dy=0.204124, dz=0.204124
0.035808 0.964192 17.781443 -10.069441
0.035808 0.964192 17.781443 -10.069441
0.035808 0.964192 17.781443 -10.069441
0.035808 0.964192 17.781443 -10.069442
0.035808 0.964192 17.781443 -10.069442
0.035808 0.964192 17.781443 -10.069442
0.071962 0.928040 15.110615 -10.570263
0.071962 0.928040 15.110615 -10.570263
0.071962 0.928040 15.110615 -10.570263
0.071962 0.928040 15.110615 -10.570263
0.071962 0.928040 15.110615 -10.570263
0.071962 0.928040 15.110615 -10.570263
0.161129 0.838877 8.093696 -12.235400
0.161129 0.838877 8.093696 -12.235400
0.161129 0.838877 8.093696 -12.235400
0.161129 0.838877 8.093695 -12.235400
0.161129 0.838877 8.093695 -12.235400
0.161129 0.838877 8.093695 -12.235400
0.360877 0.639128 -4.353468 -12.695770
0.360877 0.639128 -4.353468 -12.695770
0.360877 0.639128 -4.353468 -12.695770
0.360877 0.639128 -4.353468 -12.695770
0.360877 0.639128 -4.353468 -12.695770
0.360877 0.639128 -4.353468 -12.695770
0.646529 0.353466 -12.996583 -4.200503
0.646529 0.353466 -12.996583 -4.200503
0.646529 0.353466 -12.996583 -4.200503
0.646529 0.353466 -12.996583 -4.200503
0.646529 0.353466 -12.996583 -4.200503
0.646529 0.353466 -12.996583 -4.200503
0.846384 0.153611 -12.726236 8.059179
0.846384 0.153611 -12.726236 8.059179
0.846384 0.153611 -12.726236 8.059179
0.846384 0.153611 -12.726236 8.059178
0.846384 0.153611 -12.726236 8.059178
0.846384 0.153611 -12.726236 8.059178
0.934562 0.065437 -11.364776 14.710145
0.934562 0.065437 -11.364776 14.710145
0.934562 0.065437 -11.364776 14.710145
0.934562 0.065437 -11.364776 14.710145
0.934562 0.065437 -11.364776 14.710145
0.934562 0.065437 -11.364776 14.710145
0.969834 0.030166 -11.245352 16.945306
0.969834 0.030166 -11.245352 16.945306
0.969834 0.030166 -11.245352 16.945306
0.969834 0.030166 -11.245352 16.945306
0.969834 0.030166 -11.245352 16.945306
0.969834 0.030166 -11.245352 16.945306
0.984905 0.015096 -11.659156 17.435449
0.984905 0.015096 -11.659156 17.435449
0.984905 0.015096 -11.659156 17.435449
0.984905 0.015096 -11.659156 17.435449
0.984905 0.015096 -11.659156 17.435449
0.984905 0.015096 -11.659156 17.435449
0.991951 0.008049 -12.190794 17.326471
0.991951 0.008049 -12.190794 17.326472
0.991951 0.008049 -12.190794 17.326471
0.991951 0.008049 -12.190794 17.326471
0.991951 0.008049 -12.190794 17.326471
0.991951 0.008049 -12.190794 17.326471
0.995421 0.004580 -12.702112 17.023259
0.995421 0.004580 -12.702112 17.023259
0.995421 0.004580 -12.702112 17.023259
0.995421 0.004580 -12.702112 17.023259
0.995421 0.004580 -12.702112 17.023259
0.995421 0.004580 -12.702112 17.023259
0.997080 0.002920 -13.121738 16.703170
0.997080 0.002920 -13.121738 16.703170
0.997080 0.002920 -13.121738 16.703170
0.997080 0.002920 -13.121739 16.703170
0.997080 0.002920 -13.121739 16.703169
0.997080 0.002920 -13.121739 16.703170
0.997701 0.002299 -13.398232 16.463949
0.997701 0.002299 -13.398232 16.463949
0.997701 0.002299 -13.398232 16.463949
0.997701 0.002299 -13.398232 16.463949
0.997701 0.002299 -13.398232 16.463949
0.997701 0.002299 -13.398232 16.463949
0.997643 0.002357 -13.515863 16.342820
0.997643 0.002357 -13.515863 16.342821
0.997643 0.002357 -13.515863 16.342820
0.997643 0.002357 -13.515864 16.342820
0.997643 0.002357 -13.515864 16.342819
0.997643 0.002357 -13.515864 16.342820
0.996979 0.003021 -13.480565 16.338356
0.996979 0.003021 -13.480565 16.338356
0.996979 0.003021 -13.480565 16.338356
0.996979 0.003021 -13.480565 16.338355
0.996979 0.003021 -13.480565 16.338355
0.996979 0.003021 -13.480565 16.338355
0.995648 0.004352 -13.326455 16.412675
0.995648 0.004352 -13.326454 16.412676
0.995648 0.004352 -13.326455 16.412675
0.995648 0.004352 -13.326456 16.412674
0.995648 0.004352 -13.326457 16.412673
0.995648 0.004352 -13.326456 16.412674
0.993522 0.006478 -13.085049 16.526630
0.993522 0.006478 -13.085049 16.526630
0.993522 0.006478 -13.085049 16.526630
0.993522 0.006478 -13.085050 16.526628
0.993522 0.006478 -13.085051 16.526627
0.993522 0.006478 -13.085050 16.526628
0.990397 0.009603 -12.787443 16.636834
0.990397 0.009603 -12.787442 16.636836
0.990397 0.009603 -12.787443 16.636834
0.990397 0.009603 -12.787444 16.636830
0.990397 0.009603 -12.787445 16.636829
0.990397 0.009603 -12.787444 16.636830
0.985930 0.014070 -12.473823 16.682577
0.985930 0.014070 -12.473822 16.682580
0.985930 0.014070 -12.473823 16.682577
0.985930 0.014070 -12.473824 16.682571
0.985930 0.014070 -12.473824 16.682568
0.985930 0.014070 -12.473824 16.682571
0.979727 0.020273 -12.195616 16.588641
0.979727 0.020273 -12.195615 16.588647
0.979727 0.020273 -12.195616 16.588641
0.979727 0.020273 -12.195618 16.588629
0.979727 0.020273 -12.195619 16.588623
0.979727 0.020273 -12.195618 16.588629
0.971362 0.028638 -11.983523 16.298569
0.971362 0.028638 -11.983521 16.298581
0.971362 0.028638 -11.983523 16.298569
0.971361 0.028638 -11.983526 16.298545
0.971361 0.028639 -11.983528 16.298533
0.971361 0.028638 -11.983526 16.298545
0.960396 0.039604 -11.859603 15.763733
0.960397 0.039603 -11.859598 15.763759
0.960396 0.039604 -11.859603 15.763733
0.960396 0.039604 -11.859612 15.763682
0.960395 0.039605 -11.859617 15.763656
0.960396 0.039604 -11.859612 15.763682
0.946486 0.053515 -11.843458 14.943243
0.946486 0.053514 -11.843448 14.943294
0.946486 0.053515 -11.843458 14.943243
0.946484 0.053516 -11.843478 14.943139
0.946484 0.053517 -11.843488 14.943088
0.946484 0.053516 -11.843478 14.943139
0.929650 0.070351 -11.952234 13.820352
0.929652 0.070349 -11.952213 13.820453
0.929650 0.070351 -11.952234 13.820352
0.929648 0.070353 -11.952276 13.820151
0.929647 0.070354 -11.952297 13.820050
0.929648 0.070353 -11.952276 13.820151
0.910507 0.089495 -12.170055 12.446867
0.910509 0.089493 -12.170018 12.447048
0.910507 0.089495 -12.170055 12.446867
0.910502 0.089500 -12.170129 12.446504
0.910500 0.089502 -12.170165 12.446322
0.910502 0.089500 -12.170129 12.446504
0.890383 0.109619 -12.450301 10.948252
0.890387 0.109615 -12.450245 10.948556
0.890383 0.109619 -12.450301 10.948252
0.890376 0.109627 -12.450413 10.947644
0.890372 0.109630 -12.450469 10.947340
0.890376 0.109627 -12.450413 10.947644
0.871269 0.128734 -12.725366 9.511185
0.871275 0.128727 -12.725295 9.511653
0.871269 0.128734 -12.725366 9.511185
0.871257 0.128746 -12.725508 9.510248
0.871251 0.128752 -12.725579 9.509779
0.871257 0.128746 -12.725508 9.510248
0.855576 0.144427 -12.941695 8.334825
0.855585 0.144418 -12.941618 8.335496
