Nx=6, Ny=96, Nz=96
dx=0.408248, dy=0.204124, dz=0.204124
0.035816 0.964183 17.768363 -10.081491
0.035816 0.964183 17.768363 -10.081491
0.035816 0.964183 17.768363 -10.081491
0.035816 0.964183 17.768362 -10.081491
0.035816 0.964183 17.768362 -10.081491
0.035816 0.964183 17.768362 -10.081491
0.072084 0.927916 15.088961 -10.583434
0.072084 0.927916 15.088961 -10.583434
0.072084 0.927916 15.088961 -10.583434
0.072084 0.927916 15.088961 -10.583434
0.072084 0.927916 15.088961 -10.583434
0.072084 0.927916 15.088961 -10.583434
0.161661 0.838338 8.040846 -12.253807
0.161661 0.838338 8.040846 -12.253807
0.161661 0.838338 8.040846 -12.253807
0.161661 0.838338 8.040846 -12.253807
0.161661 0.838338 8.040846 -12.253807
0.161661 0.838338 8.040846 -12.253807
0.362396 0.637600 -4.442053 -12.688214
0.362396 0.637600 -4.442053 -12.688214
0.362396 0.637600 -4.442053 -12.688214
0.362396 0.637600 -4.442053 -12.688214
0.362396 0.637600 -4.442053 -12.688214
0.362396 0.637600 -4.442053 -12.688214
0.648561 0.351445 -13.037365 -4.114672
0.648561 0.351445 -13.037365 -4.114672
0.648561 0.351445 -13.037365 -4.114672
0.648561 0.351445 -13.037365 -4.114672
0.648561 0.351445 -13.037365 -4.114672
0.648561 0.351445 -13.037365 -4.114672
0.847695 0.152314 -12.726497 8.139299
0.847695 0.152314 -12.726497 8.139299
0.847695 0.152314 -12.726497 8.139299
0.847695 0.152314 -12.726497 8.139299
0.847695 0.152314 -12.726497 8.139299
0.847695 0.152314 -12.726497 8.139299
0.935218 0.064785 -11.376219 14.738258
0.935218 0.064785 -11.376219 14.738257
0.935218 0.064785 -11.376219 14.738258
0.935218 0.064785 -11.376219 14.738258
0.935218 0.064785 -11.376219 14.738258
0.935218 0.064785 -11.376219 14.738258
0.970171 0.029829 -11.269879 16.940791
0.970171 0.029829 -11.269879 16.940791
0.970171 0.029829 -11.269879 16.940791
0.970171 0.029829 -11.269879 16.940791
0.970171 0.029829 -11.269879 16.940791
0.970171 0.029829 -11.269879 16.940791
0.985097 0.014901 -11.689892 17.416064
0.985097 0.014901 -11.689892 17.416064
0.985097 0.014901 -11.689892 17.416064
0.985097 0.014901 -11.689892 17.416064
0.985097 0.014901 -11.689892 17.416064
0.985097 0.014901 -11.689892 17.416064
0.992074 0.007924 -12.225040 17.299388
0.992074 0.007924 -12.225040 17.299388
0.992074 0.007924 -12.225040 17.299388
0.992074 0.007924 -12.225040 17.299388
0.992074 0.007924 -12.225040 17.299388
